mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2_score,n_features,features,GEOID_ranking,NPP_g_m-2_1m_lag_ranking,PDSI_2m_lag_ranking,STATEFP_ranking,median_inc_ranking,month_ranking,months_from_start_ranking,pm25_ug_m-3_1m_lag_ranking,popuDensity_ALAND_km2_ranking,temp_F_ranking,temp_F_1m_lag_ranking,temp_F_2m_lag_ranking,1,2,3,4,5,6,7
46.01809585,2.407370075,1.598640847,0.172574491,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.52495067,6.136984582,10,-0.069209105,0.000554897,7,-0.304463654,0.002008772,4,-0.572378975,0.024389132,1,0.717101872,0.007406889,1,0.717060416,0.007399063,1,0.721881431,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']",1,1,7,1,6,1,1,4,1,5,2,3,0.716265988,0.709501669,0.705710945,0.702201313,0.699461771,0.699068627,0.69801046
45.99243126,1.04412702,1.583140063,0.15323126,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.51969689,6.137902455,4,-0.069203167,0.000550527,1,-0.304445312,0.001987572,1,-0.572392122,0.02446403,2,0.717096004,0.007446923,2,0.717054422,0.00743899,2,0.721817503,6,"['popuDensity_ALAND_km2', 'NPP_g_m-2_1m_lag', 'month', 'STATEFP', 'GEOID', 'months_from_start']",1,1,7,1,6,1,1,4,1,5,2,3,0.717054422,0.709453894,0.705760079,0.70235833,0.699550024,0.699059118,0.697890207
46.0237504,1.226408892,1.598234034,0.181231973,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.51824883,6.140334551,2,-0.069207625,0.000551036,5,-0.304468529,0.001994791,5,-0.572395722,0.024410405,3,0.717093511,0.007423176,3,0.717052142,0.007415362,3,0.721800077,6,"['STATEFP', 'GEOID', 'months_from_start', 'popuDensity_ALAND_km2', 'month', 'NPP_g_m-2_1m_lag']",1,1,7,1,6,1,1,4,1,5,2,3,0.716249613,0.709459694,0.7057536,0.70217728,0.699632712,0.699142099,0.69793038
49.94800181,0.344710841,1.763121748,0.10911531,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.51974043,6.140164823,5,-0.069207144,0.000554211,4,-0.304455357,0.002015241,2,-0.572405231,0.02446287,4,0.717089504,0.007450627,4,0.717047825,0.007442606,4,0.721785409,6,"['NPP_g_m-2_1m_lag', 'month', 'STATEFP', 'GEOID', 'months_from_start', 'popuDensity_ALAND_km2']",1,1,7,1,6,1,1,4,1,5,2,3,0.717047825,0.709498619,0.705710653,0.701964932,0.699175475,0.69911563,0.697944406
46.04937978,1.337064612,1.608222628,0.150988606,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.52283458,6.137468489,6,-0.069211786,0.00054774,12,-0.304493072,0.001961709,12,-0.572432848,0.024395502,5,0.717075195,0.007412859,5,0.717033707,0.007404564,5,0.72187353,6,"['month', 'months_from_start', 'STATEFP', 'GEOID', 'popuDensity_ALAND_km2', 'NPP_g_m-2_1m_lag']",1,1,7,1,6,1,1,4,1,5,2,3,0.717033707,0.709456711,0.705806471,0.702180721,0.699533857,0.699148437,0.697971149
46.24703331,0.542653745,1.695560908,0.192472405,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.52679725,6.136990649,12,-0.069211521,0.000550809,11,-0.304478184,0.00201161,10,-0.572442393,0.024506255,6,0.717071371,0.00747475,6,0.717029704,0.00746685,6,0.721799294,6,"['month', 'GEOID', 'STATEFP', 'months_from_start', 'NPP_g_m-2_1m_lag', 'popuDensity_ALAND_km2']",1,1,7,1,6,1,1,4,1,5,2,3,0.716261123,0.709469569,0.70576341,0.702208575,0.699135705,0.699115034,0.697885182
50.89914293,0.511985964,1.807813811,0.120321472,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.52477103,6.140130664,9,-0.06921017,0.000551551,10,-0.304482408,0.001989834,11,-0.572454712,0.024452866,7,0.717064617,0.007447626,7,0.717023174,0.00743962,7,0.721852946,6,"['months_from_start', 'STATEFP', 'NPP_g_m-2_1m_lag', 'GEOID', 'month', 'popuDensity_ALAND_km2']",1,1,7,1,6,1,1,4,1,5,2,3,0.716239241,0.709502672,0.705775032,0.702886553,0.70007266,0.699125944,0.697947063
48.70182114,1.135572882,1.658413601,0.134918238,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.52585643,6.138546673,11,-0.069207944,0.000551346,6,-0.304477887,0.00201364,8,-0.572469134,0.02449174,8,0.71705794,0.007457692,8,0.717016629,0.00744959,8,0.721787654,6,"['NPP_g_m-2_1m_lag', 'popuDensity_ALAND_km2', 'month', 'months_from_start', 'GEOID', 'STATEFP']",1,1,7,1,6,1,1,4,1,5,2,3,0.717016629,0.709450769,0.70575701,0.702149564,0.699198077,0.699154642,0.697920876
46.08700893,1.625761521,1.588083458,0.148762308,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.52305972,6.140096703,8,-0.069209193,0.000551614,8,-0.304478012,0.001996183,9,-0.572472574,0.024417911,9,0.717055234,0.007430154,9,0.717014068,0.007422321,9,0.721824672,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'GEOID', 'popuDensity_ALAND_km2', 'months_from_start']",1,1,7,1,6,1,1,4,1,5,2,3,0.716241198,0.709512975,0.705743858,0.701745046,0.699239214,0.699149894,0.697969759
46.21329882,1.014136054,1.601291633,0.17064711,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.51912366,6.139255238,3,-0.069205381,0.000547725,2,-0.304460447,0.001969143,3,-0.572474302,0.02439442,10,0.717054387,0.007414229,10,0.717013142,0.007406125,10,0.721822606,6,"['popuDensity_ALAND_km2', 'GEOID', 'STATEFP', 'month', 'months_from_start', 'NPP_g_m-2_1m_lag']",1,1,7,1,6,1,1,4,1,5,2,3,0.716226406,0.70946427,0.705753063,0.702336403,0.699140488,0.699123293,0.697936153
46.0927026,1.779040172,1.636163712,0.15921142,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.51664255,6.141186998,1,-0.069205549,0.0005632,3,-0.304473969,0.002048279,7,-0.572498526,0.024432743,11,0.71704273,0.00743567,11,0.717001399,0.007427822,11,0.721853897,6,"['popuDensity_ALAND_km2', 'STATEFP', 'NPP_g_m-2_1m_lag', 'GEOID', 'month', 'months_from_start']",1,1,7,1,6,1,1,4,1,5,2,3,0.716228904,0.709447544,0.705763268,0.702161412,0.699051857,0.699103777,0.69792066
46.08722847,1.931203373,1.642460227,0.138882525,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.5228745,6.138600504,7,-0.069209712,0.000555863,9,-0.304473647,0.002012527,6,-0.57252934,0.024535704,12,0.717028635,0.00748849,12,0.716986925,0.007480547,12,0.721830216,6,"['popuDensity_ALAND_km2', 'STATEFP', 'GEOID', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start']",1,1,7,1,6,1,1,5,1,4,2,3,0.716183055,0.709467151,0.705740278,0.701812157,0.699484986,0.699152762,0.69800268
