mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2_score,n_features,features,ALAND_ATOTAL_ratio,BB_g_m-2,C_g_m-2,DM_kg_m-2,GEOID,NPP_g_m-2,PDSI,Rh_g_m-2,SP01,burned_frac,median_inc,month,months_from_start,pm25_ug_m-3,popuDensity_ALAND_km2,precip_in,smallf_frac,temp_F,1,2,3,4,5,6,7
110.46059720516205,2.691252762527275,2.0260902404785157,0.19784281439573584,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.74684992695228,5.9658582973334635,9,-0.15250208803855164,0.000707055802628526,12,-0.6233161222196806,0.0019205237045171015,12,-0.9907371561738506,0.027526304743045484,12,0.5102774537031729,0.0064093734375972175,12,0.5101265103935896,0.006415763822118142,12,0.5186813238504304,11,"['Rh_g_m-2', 'month', 'PDSI', 'months_from_start', 'NPP_g_m-2', 'popuDensity_ALAND_km2', 'ALAND_ATOTAL_ratio', 'pm25_ug_m-3', 'temp_F', 'SP01', 'median_inc']",1.0,5.0,3.0,4.0,,1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,0.5101265103935896,0.5098375616019142,0.5075436013898486,0.5074289514607075,0.507477192331015,,
102.70029644966125,0.8041260126289436,1.991310143470764,0.1817509779790965,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.911128566750268,6.092788547341391,10,-0.11036647535018189,0.0005273611914799201,9,-0.47835627453431806,0.00294025636329986,9,-0.7443862690917317,0.026664221851183962,9,0.63205769197161,0.007558359617684393,9,0.6319832896349192,0.0075501219248636665,9,0.6385733707650183,10,"['NPP_g_m-2', 'ALAND_ATOTAL_ratio', 'popuDensity_ALAND_km2', 'pm25_ug_m-3', 'month', 'SP01', 'Rh_g_m-2', 'temp_F', 'PDSI', 'GEOID']",1.0,6.0,3.0,5.0,1.0,1,1.0,1.0,1.0,,,1.0,,1.0,1.0,2.0,4.0,1.0,0.6319832896349192,0.62934922969894,0.6273678970303695,0.6268769809361754,0.6267245563441322,0.6267093168287626,
88.05442657470704,1.8574048851413805,1.8752384662628174,0.19630408041314398,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.684004462649757,6.023131219616825,8,-0.09255696564952412,0.0007806356024749048,8,-0.3975358782920237,0.0034957090350673245,8,-0.65037493734674,0.02657318877476457,6,0.6785765800882524,0.007980067918813123,6,0.6784935849414951,0.007962831928842725,6,0.6867898613241089,9,"['PDSI', 'pm25_ug_m-3', 'median_inc', 'SP01', 'GEOID', 'temp_F', 'popuDensity_ALAND_km2', 'NPP_g_m-2', 'months_from_start']",3.0,5.0,6.0,7.0,1.0,1,1.0,,1.0,4.0,1.0,,1.0,1.0,1.0,2.0,,1.0,0.6784935849414951,0.6756742773113336,0.6746276350185239,0.6721560817021064,0.6717689477800588,0.6716407984324284,0.6716829103876873
82.8554280757904,1.3599179726648947,1.8258524894714356,0.215209703110733,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.556445073997924,6.170581646624598,4,-0.0760390530314754,0.0005331179837169093,3,-0.3311852296383683,0.0020308221577294144,2,-0.5997199227500737,0.025080501381675464,2,0.7036141323925401,0.0075520267184675674,2,0.7035400056428294,0.007544042610429164,2,0.7101417916993327,9,"['NPP_g_m-2', 'temp_F', 'GEOID', 'SP01', 'months_from_start', 'popuDensity_ALAND_km2', 'median_inc', 'month', 'pm25_ug_m-3']",,7.0,6.0,,1.0,1,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,5.0,1.0,0.7022965143864279,0.7009591655387222,0.6986338616505572,0.6970883675518064,0.6964526693495845,0.6960677813981853,0.6960234405384643
85.51274826526642,1.484157454454409,1.8528061866760255,0.2513351944269004,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.571047784551062,6.1595432028764465,6,-0.07539610830643415,0.0006071017691288825,1,-0.327965261052504,0.0022640143395259425,1,-0.6066686645564988,0.024209169400153868,5,0.7001744515758521,0.007151136581830205,5,0.7000939631640626,0.00714352804453759,5,0.7064478848720763,9,"['PDSI', 'popuDensity_ALAND_km2', 'NPP_g_m-2', 'month', 'pm25_ug_m-3', 'GEOID', 'SP01', 'Rh_g_m-2', 'months_from_start']",,4.0,7.0,6.0,1.0,1,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,5.0,,0.7000939631640626,0.6973921028525025,0.6955713151368993,0.6948316633115588,0.6944416907792621,0.6944078693085323,0.6944717604642312
79.9023354291916,1.8204878113528746,1.7899559497833253,0.17410443873575224,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.620234341226556,6.153538143636449,7,-0.08424985775281903,0.0007273848618002959,7,-0.3591088818774588,0.0022541019961703347,7,-0.656980101455366,0.02494049606171652,8,0.6753011911584496,0.00741068022941473,8,0.6752049648972995,0.007412956085795955,8,0.6812468582730187,9,"['median_inc', 'Rh_g_m-2', 'pm25_ug_m-3', 'GEOID', 'SP01', 'ALAND_ATOTAL_ratio', 'temp_F', 'month', 'months_from_start']",1.0,6.0,,7.0,1.0,3,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,5.0,1.0,0.6752049648972995,0.6735989170602708,0.6717595172352875,0.670289488521168,0.6694423506824789,0.6692312657811927,0.6691355215424902
109.22388682365417,2.4204975726092157,1.8896997928619386,0.19197962477495153,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-28.049651901087394,6.187084536048123,12,-0.12835473080301443,0.0004753792072755573,11,-0.5542015247710802,0.0026618353345554333,11,-0.8426376542990243,0.027349447636370223,11,0.5834964902271148,0.007034150081276818,11,0.583390708361978,0.007008452340460871,11,0.5879115242190585,10,"['Rh_g_m-2', 'pm25_ug_m-3', 'popuDensity_ALAND_km2', 'GEOID', 'median_inc', 'NPP_g_m-2', 'temp_F', 'PDSI', 'ALAND_ATOTAL_ratio', 'precip_in']",1.0,6.0,2.0,5.0,1.0,1,1.0,1.0,,4.0,1.0,,,1.0,1.0,1.0,3.0,1.0,0.5833907083619779,0.5832824632657825,0.5826409290630459,0.582303038458478,0.5823121666049532,0.5823475591389611,
84.19648478031158,2.0164000353948675,1.7124645471572877,0.1366105734021459,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.46925175087992,6.17145723795976,1,-0.07702914929374408,0.000556829512818669,5,-0.3359362951974759,0.0021145099956335557,6,-0.5965715156972846,0.02516869965551946,1,0.7051752748748011,0.007586701735985885,1,0.7050995253809593,0.007576933201338796,1,0.7107899258023822,9,"['ALAND_ATOTAL_ratio', 'SP01', 'GEOID', 'popuDensity_ALAND_km2', 'NPP_g_m-2', 'months_from_start', 'Rh_g_m-2', 'median_inc', 'month']",1.0,4.0,7.0,6.0,1.0,1,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,2.0,5.0,,0.7050995253809594,0.7020993426844173,0.6998735149098719,0.6989329814018308,0.698625449351428,0.698567744434088,0.6985612821835525
82.71552531719207,1.9720769824223872,1.7587056875228881,0.1360539563374791,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.558665068194635,6.156010255098216,5,-0.07603882818176246,0.0005442086303636698,2,-0.3312010146679674,0.0020343447216879785,3,-0.599878615590103,0.025107870753025202,3,0.7035353391325911,0.007594731522416692,3,0.7034609007221743,0.0075862922045523236,3,0.7101367825816594,9,"['NPP_g_m-2', 'median_inc', 'pm25_ug_m-3', 'popuDensity_ALAND_km2', 'SP01', 'month', 'GEOID', 'temp_F', 'months_from_start']",,,,7.0,1.0,1,2.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,0.7019902328972237,0.7009942959532995,0.698671424407912,0.6967146318201519,0.6952787177014716,0.6946084583824458,0.6942585172057985
90.6010219335556,1.5063341104163004,1.991468620300293,0.1614432777253411,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-28.09742017978515,5.849881299821289,13,-0.16414931337531632,0.0009616199776684204,13,-0.6676424353966761,0.0031663499618709654,13,-1.0752498188110946,0.026827045424858538,13,0.4684783652920436,0.005398737264130441,13,0.4683182777443271,0.005392498093592624,13,0.47696613104978314,9,"['PDSI', 'temp_F', 'NPP_g_m-2', 'months_from_start', 'Rh_g_m-2', 'SP01', 'median_inc', 'pm25_ug_m-3', 'popuDensity_ALAND_km2']",,5.0,7.0,6.0,,1,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,2.0,4.0,1.0,0.4683182777443271,0.46758750412155337,0.46466560708123694,0.4633826261698372,0.46296297841440676,0.4628494632821328,0.46300245582225463
84.62320876121521,1.4650795558979322,1.7455738306045532,0.15721218875209167,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.545384797541214,6.181049157175438,2,-0.07637527330112151,0.0005598294619154333,4,-0.33265527812290496,0.002394883301511167,5,-0.6026342916624325,0.02493170584624024,4,0.7021824554848172,0.007424675210200567,4,0.7020983054428999,0.007415152355624084,4,0.708834416161463,9,"['popuDensity_ALAND_km2', 'Rh_g_m-2', 'month', 'ALAND_ATOTAL_ratio', 'GEOID', 'months_from_start', 'NPP_g_m-2', 'SP01', 'pm25_ug_m-3']",1.0,5.0,6.0,7.0,1.0,1,,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,4.0,,0.7020983054428999,0.6992145618379858,0.6973870711776031,0.6965807844489129,0.6960896510747487,0.6960847876667201,0.6960769022309876
78.92569744586945,2.7911569733167694,1.790907120704651,0.15636216443393205,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.556288890945446,6.147131133763065,3,-0.07853496206854407,0.0007112002248569207,6,-0.332368156182856,0.0021348705763990917,4,-0.6525463635650098,0.024237637558219057,7,0.6774664972149106,0.007192325233932764,7,0.6773909177207125,0.007193378190184882,7,0.6833006130653837,9,"['GEOID', 'Rh_g_m-2', 'months_from_start', 'temp_F', 'PDSI', 'SP01', 'NPP_g_m-2', 'pm25_ug_m-3', 'month']",,5.0,7.0,6.0,1.0,1,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,2.0,4.0,1.0,0.6773909177207125,0.6752936903192076,0.6739737005957827,0.6732177435225638,0.6728757933796785,0.6728283184163879,0.6728127548680579
100.44604461193084,2.332314196991445,1.8964456796646119,0.13011169000526232,0.1,2,4,140,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-28.045124838628332,6.310669429628667,11,-0.11514658258877915,0.0005907928288081394,10,-0.4985051527003842,0.0030712304908536935,10,-0.7629333875235605,0.0275198551410578,10,0.6228967717397323,0.007818053056299535,10,0.6228151832080856,0.0078118058412335175,10,0.6294884154279827,10,"['median_inc', 'temp_F', 'NPP_g_m-2', 'Rh_g_m-2', 'GEOID', 'popuDensity_ALAND_km2', 'SP01', 'PDSI', 'month', 'ALAND_ATOTAL_ratio']",1.0,4.0,6.0,5.0,1.0,1,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,,3.0,1.0,0.6228151832080856,0.6208263350452932,0.6201178370717695,0.6196724231735842,0.6195348729106912,0.6196399819695038,
