vars,AQI,AQI_1m_lag,AQI_2m_lag,BB_g_m-2,BB_g_m-2_1m_lag,BB_g_m-2_2m_lag,C_g_m-2,C_g_m-2_1m_lag,C_g_m-2_2m_lag,DM_kg_m-2,DM_kg_m-2_1m_lag,DM_kg_m-2_2m_lag,NPP_g_m-2,NPP_g_m-2_1m_lag,NPP_g_m-2_2m_lag,PDSI,PDSI_1m_lag,PDSI_2m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,Rh_g_m-2_2m_lag,SP01,SP01_1m_lag,SP01_2m_lag,burned_frac,burned_frac_1m_lag,burned_frac_2m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,pm25_ug_m-3_2m_lag,precip_in,precip_in_1m_lag,precip_in_2m_lag,smallf_frac,smallf_frac_1m_lag,smallf_frac_2m_lag,temp_F,temp_F_1m_lag,temp_F_2m_lag,ALAND_ATOTAL_ratio,deathRate,month,months_from_start,popuDensity_ALAND_km2,popuDensity_ATOTAL_km2
AQI,1.0,0.7072980130310198,0.5083393482935623,0.18372378470335157,0.15341642403782585,0.10458227589009961,0.18372378470335157,0.15341642403782585,0.10458227589009961,0.18370431611577273,0.15338773143661757,0.1045518006577413,0.48805212489298017,0.3326432341353246,0.11153141806431079,-0.11756700715357844,-0.0926994296844885,-0.07944646555149529,0.39634841685875527,0.25984982634803755,0.07586452253546631,-0.11206476816276803,-0.06060765778639562,-0.044857192279246116,0.17735211053194253,0.1501060678144927,0.10366356488745665,0.4382136333370487,0.32812330348247565,0.23966440813143125,0.12004435624224237,0.1435849260317018,0.10736425992570904,0.19490635549768723,0.17141671203718134,0.1302204915476109,0.48927486812859666,0.3076751703712884,0.07006618533234116,0.032927579190836095,-0.1602216834343169,-0.09004057763816041,-0.08896847183543585,0.10403697773979662,0.11123118425322619
AQI_1m_lag,0.7072980130310199,0.9999999999999999,0.7075609491758535,0.12174463800039308,0.1814989210340075,0.1537080754613898,0.12174463800039308,0.1814989210340075,0.1537080754613898,0.12172934399234504,0.18147962023759465,0.1536800089659695,0.5025905216295125,0.48696229303393196,0.33265867792883397,-0.08728282835781533,-0.11636000926237491,-0.09185321950332281,0.4439299442495177,0.3956726513815061,0.2603498184463939,0.009146677339976901,-0.11134818520495916,-0.06227055537364639,0.11435751340073251,0.17508153450876648,0.15030029436288386,0.34692591359347424,0.4337475537758383,0.32626074386267595,0.20324147306973964,0.12071100635473897,0.14173070033098792,0.12967699066186952,0.19142003644867675,0.17031109590419716,0.5308168613584121,0.4884422964168825,0.30851651486656095,0.03292468457363151,-0.23567047453004675,0.12884546572830322,-0.07765114247217007,0.10405162597028461,0.11123976965475202
AQI_2m_lag,0.5083393482935623,0.7075609491758534,1.0,0.06387314554422598,0.11823407591126582,0.17998156826374276,0.06387314554422598,0.11823407591126582,0.17998156826374276,0.06385968623142337,0.1182200511852049,0.17996333369836479,0.38629119354602837,0.5039708105148425,0.488576523586293,-0.05549994387427803,-0.08232028509246078,-0.11136808766365101,0.38544589052964423,0.44444783383289255,0.39740649870525474,0.02541317181023336,0.00972151937333292,-0.10991025021247214,0.05574973519858189,0.11081795890833492,0.17356229743316492,0.27882400421594766,0.34212537127102677,0.4302718235652449,0.17936923662357945,0.20404944666777197,0.12139515436942615,0.06906701299978896,0.12441408838934576,0.18793626733975868,0.4522332990815561,0.5318332528337849,0.490209596587007,0.032747446197405446,-0.2539321329967531,0.3222993103241759,-0.06565765450598751,0.10368948979207392,0.11085109630433206
BB_g_m-2,0.18372378470335157,0.12174463800039308,0.06387314554422598,1.0,0.4682791240291011,0.33239351446240567,1.0,0.4682791240291011,0.33239351446240567,0.9999994521305908,0.46821751485775215,0.33230625915682127,0.26965302316099926,0.19937694595652536,0.12312812930284649,-0.15881728909682027,-0.1356198958478369,-0.12057559339905694,0.25369096174944594,0.1990484778900253,0.14290738498776176,-0.10060700709515612,-0.06132050427390806,-0.061675174421458805,0.9883818871186782,0.4603732086616919,0.3235291983687909,0.1643145948410557,0.14723514006256105,0.12344961432528884,0.03543888518077188,0.03651231889220564,0.02205364028960872,0.9422231341971756,0.44275435365751953,0.32265936524558414,0.31493371040011037,0.2406945415089357,0.1527306375099334,-0.06937285035747286,-0.06064681151613296,-0.03770552130183009,0.03631088630613021,0.03757476166721134,0.044033947720440815
BB_g_m-2_1m_lag,0.15341642403782588,0.1814989210340075,0.11823407591126582,0.4682791240291011,1.0,0.47033659577900144,0.4682791240291011,1.0,0.47033659577900144,0.46822172153894676,0.9999994478201116,0.470274941038414,0.2898885912641693,0.26672246835986674,0.19612850975795337,-0.14527795610611777,-0.1601997893119618,-0.13673625047344368,0.29163727219832586,0.2514618501829055,0.1972461037134324,-0.014767015251002557,-0.1022819801970446,-0.06237508701993797,0.45808487023754585,0.988250461810516,0.4622871121675848,0.12697349158039317,0.16484318669757567,0.14571519842641964,0.119077940425872,0.033482414361322266,0.03598313393214563,0.4546122265052724,0.9417312099721793,0.4451330020200739,0.32841819428076247,0.31206983976734315,0.23800260692321823,-0.06907284636838519,-0.09670707436338968,0.09521262079301832,0.03697799135835596,0.037493942324051566,0.04397855401699943
BB_g_m-2_2m_lag,0.10458227589009962,0.15370807546138976,0.17998156826374276,0.33239351446240567,0.47033659577900144,1.0,0.33239351446240567,0.47033659577900144,1.0,0.33231174026289195,0.4702787525989373,0.9999994482683543,0.2626578776952263,0.2907306446740232,0.2661438475965405,-0.13568441515352186,-0.14592353933770896,-0.1603221385109806,0.29675899382571375,0.2917233737706066,0.25133892507593686,-0.018250029160004167,-0.017073314220032408,-0.10253539628985896,0.32133157514594407,0.4601617701685683,0.9882369368105355,0.10603365823430477,0.12859035086678325,0.16402015230766817,0.12257973071743056,0.11718980979617871,0.033700305141744276,0.32942163501364535,0.45675879257015795,0.9413950952962552,0.31620945916252535,0.32923626554759433,0.31162995350817313,-0.06894925801052484,-0.10232930218485697,0.1469392606477381,0.03606656482161265,0.037535514604841703,0.04401047316825749
C_g_m-2,0.18372378470335157,0.12174463800039308,0.06387314554422598,1.0,0.4682791240291011,0.33239351446240567,1.0,0.4682791240291011,0.33239351446240567,0.9999994521305908,0.46821751485775215,0.33230625915682127,0.26965302316099926,0.19937694595652536,0.12312812930284649,-0.15881728909682027,-0.1356198958478369,-0.12057559339905694,0.25369096174944594,0.1990484778900253,0.14290738498776176,-0.10060700709515612,-0.06132050427390806,-0.061675174421458805,0.9883818871186782,0.4603732086616919,0.3235291983687909,0.1643145948410557,0.14723514006256105,0.12344961432528884,0.03543888518077188,0.03651231889220564,0.02205364028960872,0.9422231341971756,0.44275435365751953,0.32265936524558414,0.31493371040011037,0.2406945415089357,0.1527306375099334,-0.06937285035747286,-0.06064681151613296,-0.03770552130183009,0.03631088630613021,0.03757476166721134,0.044033947720440815
C_g_m-2_1m_lag,0.15341642403782588,0.1814989210340075,0.11823407591126582,0.4682791240291011,1.0,0.47033659577900144,0.4682791240291011,1.0,0.47033659577900144,0.46822172153894676,0.9999994478201116,0.470274941038414,0.2898885912641693,0.26672246835986674,0.19612850975795337,-0.14527795610611777,-0.1601997893119618,-0.13673625047344368,0.29163727219832586,0.2514618501829055,0.1972461037134324,-0.014767015251002557,-0.1022819801970446,-0.06237508701993797,0.45808487023754585,0.988250461810516,0.4622871121675848,0.12697349158039317,0.16484318669757567,0.14571519842641964,0.119077940425872,0.033482414361322266,0.03598313393214563,0.4546122265052724,0.9417312099721793,0.4451330020200739,0.32841819428076247,0.31206983976734315,0.23800260692321823,-0.06907284636838519,-0.09670707436338968,0.09521262079301832,0.03697799135835596,0.037493942324051566,0.04397855401699943
C_g_m-2_2m_lag,0.10458227589009962,0.15370807546138976,0.17998156826374276,0.33239351446240567,0.47033659577900144,1.0,0.33239351446240567,0.47033659577900144,1.0,0.33231174026289195,0.4702787525989373,0.9999994482683543,0.2626578776952263,0.2907306446740232,0.2661438475965405,-0.13568441515352186,-0.14592353933770896,-0.1603221385109806,0.29675899382571375,0.2917233737706066,0.25133892507593686,-0.018250029160004167,-0.017073314220032408,-0.10253539628985896,0.32133157514594407,0.4601617701685683,0.9882369368105355,0.10603365823430477,0.12859035086678325,0.16402015230766817,0.12257973071743056,0.11718980979617871,0.033700305141744276,0.32942163501364535,0.45675879257015795,0.9413950952962552,0.31620945916252535,0.32923626554759433,0.31162995350817313,-0.06894925801052484,-0.10232930218485697,0.1469392606477381,0.03606656482161265,0.037535514604841703,0.04401047316825749
DM_kg_m-2,0.18370431611577276,0.12172934399234504,0.06385968623142337,0.9999994521305908,0.4682217215389468,0.33231174026289195,0.9999994521305908,0.4682217215389468,0.33231174026289195,1.0,0.46816049595055415,0.3322247629812001,0.269609008949108,0.19932246140778803,0.12306848586871788,-0.15874520490509614,-0.13554869097832517,-0.12050489961204537,0.25365172201080877,0.1990031192225133,0.14285995027760778,-0.10058522238438967,-0.061297499338446214,-0.061654147694720995,0.9884278760974141,0.46033623133344953,0.3234622133770317,0.164311502234952,0.14725956726682338,0.12349607457172568,0.03541178499017826,0.0364729671491691,0.022002916634524017,0.9422076500192162,0.44269209907157403,0.3225742705714958,0.31488974293496985,0.24064464823152054,0.15267335388904105,-0.06935152209050428,-0.060623955793096214,-0.03769474076619519,0.03630770059506269,0.03755985838066597,0.04402020906041035
DM_kg_m-2_1m_lag,0.15338773143661757,0.18147962023759465,0.1182200511852049,0.4682175148577521,0.9999994478201116,0.47027875259893737,0.4682175148577521,0.9999994478201116,0.47027875259893737,0.46816049595055415,1.0,0.47021748461321605,0.2898571708441338,0.2666783276103226,0.19607473240569892,-0.14520026350085027,-0.16012701179592823,-0.13666471417047013,0.29161187031172364,0.25142294804828375,0.19720133768445522,-0.014740523123199902,-0.10225834637114938,-0.06235268590331244,0.45804372289006984,0.9882967400450715,0.4622497780768541,0.12695309840759322,0.16483886676976808,0.14574042470137188,0.11906023606095004,0.03345658228804427,0.035942905506909706,0.45455048271742793,0.9417150854249152,0.44506947688617077,0.32837280195801827,0.31202593484008073,0.2379534036814203,-0.06905176558615642,-0.09668781969811724,0.09523821675393572,0.03697766513270226,0.03747902001777267,0.04396481482219232
DM_kg_m-2_2m_lag,0.1045518006577413,0.15368000896596948,0.1799633336983648,0.33230625915682127,0.470274941038414,0.9999994482683543,0.33230625915682127,0.470274941038414,0.9999994482683543,0.3322247629812001,0.47021748461321605,1.0,0.2626409102542012,0.29069986585094176,0.26610061101889954,-0.1356064610549422,-0.14584641932718798,-0.16025021947993479,0.29674370732012983,0.29169842804711293,0.2513002599701547,-0.018230752046830338,-0.01704593567113674,-0.10251305161391594,0.32125895790283576,0.460120676492775,0.9882830496600421,0.10602630024451466,0.12856967779853212,0.1640170423826613,0.1225534811850284,0.11717367370895393,0.03367403776816427,0.3293324238720315,0.45669713160146425,0.9413784883155859,0.3161651973969423,0.3291915509297488,0.3115866254075243,-0.06892808292725484,-0.10230790932348097,0.14696614856524873,0.036066657661062804,0.037521035784216866,0.04399719922794484
NPP_g_m-2,0.4880521248929802,0.5025905216295125,0.3862911935460284,0.26965302316099926,0.2898885912641694,0.2626578776952263,0.26965302316099926,0.2898885912641694,0.2626578776952263,0.269609008949108,0.2898571708441338,0.2626409102542012,1.0,0.8514265120108213,0.5165271082669605,-0.02508978667047672,-0.02619858996556971,-0.03699142739942603,0.8672162764902184,0.7121410647710962,0.42657638925011854,-0.0038908723795859396,0.021238986079905757,-0.0067417729302794065,0.24659879651901423,0.2717037760873442,0.24965699562313337,0.36649428728743466,0.32784068520926174,0.24475376847854996,0.3383803641359615,0.3759030594310079,0.315170737199478,0.2638729059816257,0.29592582432853803,0.27670788556004744,0.8691069879372667,0.6955476792047848,0.3647853144110563,-0.09148929867596238,-0.2915316780703452,0.08885621502521929,-0.004537737440170742,0.1465880424736296,0.1491560710910494
NPP_g_m-2_1m_lag,0.3326432341353246,0.486962293033932,0.5039708105148425,0.19937694595652536,0.26672246835986674,0.2907306446740232,0.19937694595652536,0.26672246835986674,0.2907306446740232,0.19932246140778803,0.2666783276103226,0.29069986585094176,0.8514265120108213,1.0,0.8521777131381013,-0.009651559567501944,-0.02202518283790925,-0.02352430749254539,0.8199454263193651,0.8675291594965945,0.7139754638891915,0.020002359401112457,-0.003349347127802906,0.01964922679054565,0.17369134818118429,0.2435323046210157,0.27240054257363505,0.3344218404610925,0.36076116104878014,0.32516034599214616,0.2896831946814668,0.33981912468705433,0.3748939893972473,0.18250839491437465,0.259080119920609,0.29463694674390584,0.81856938010047,0.8689497945851581,0.6974056468945297,-0.0916447072365157,-0.36866396810957575,0.42314129163916087,0.013444835822271083,0.14697424215296556,0.14955441505053804
NPP_g_m-2_2m_lag,0.11153141806431079,0.33265867792883397,0.488576523586293,0.12312812930284651,0.19612850975795337,0.2661438475965404,0.12312812930284651,0.19612850975795337,0.2661438475965404,0.12306848586871788,0.19607473240569892,0.26610061101889954,0.5165271082669605,0.8521777131381013,0.9999999999999999,0.002249438293251226,-0.005127355660940691,-0.017548188223231696,0.6205937740302344,0.8198534704114818,0.8680198719343732,0.019404680241360977,0.019984744166565885,-0.0033031741994897974,0.09853913843723641,0.17041673153286416,0.24294732515685552,0.2548149012671985,0.32867740192569544,0.3572729352845622,0.19801675283470474,0.29081116616197955,0.33960710515366516,0.10298252600309946,0.17717780219471493,0.2561380911573694,0.582631368609293,0.8190233273994924,0.8695671396414069,-0.09135422929980708,-0.33444448437493307,0.6465380755733215,0.028983607400050834,0.1466821319654351,0.14925424755679217
PDSI,-0.11756700715357843,-0.08728282835781534,-0.05549994387427803,-0.15881728909682027,-0.14527795610611777,-0.13568441515352186,-0.15881728909682027,-0.14527795610611777,-0.13568441515352186,-0.1587452049050961,-0.14520026350085027,-0.13560646105494223,-0.025089786670476715,-0.009651559567501944,0.002249438293251226,1.0,0.9007310022067728,0.8058251033203896,0.04927268513544121,0.05706583322696332,0.06176359695711513,0.48200426585069933,0.40862286392348646,0.36058948734915125,-0.15446960958571185,-0.14205968438599476,-0.13378043367062525,-0.0289971461161537,-0.013473861325130069,0.003898729011825406,0.3410375588565532,0.2960081236532639,0.26460204900277595,-0.15287246586061945,-0.14005605386615555,-0.1334247370974496,-0.092373627235521,-0.07272743281872456,-0.055313920525079004,-0.014692249297481695,0.10500819402000042,0.035556406784431796,0.09868066291934692,0.04138008296392362,0.041390846594279586
PDSI_1m_lag,-0.0926994296844885,-0.11636000926237491,-0.08232028509246078,-0.1356198958478369,-0.1601997893119618,-0.145923539337709,-0.1356198958478369,-0.1601997893119618,-0.145923539337709,-0.1355486909783252,-0.16012701179592823,-0.14584641932718798,-0.026198589965569712,-0.02202518283790925,-0.005127355660940691,0.9007310022067727,1.0,0.9011287615345014,0.03484677013995874,0.05218879075170437,0.06007250898291726,0.1865100333042213,0.4817394362242032,0.40814217411983134,-0.13146467118002364,-0.1559016015158514,-0.14283323574520726,-0.002256917365542821,-0.03150662398916994,-0.012206998610273408,0.1408414933680606,0.3442384748307942,0.29682406701442626,-0.13477255597869345,-0.1555819229487499,-0.1421568393305126,-0.0951853999143442,-0.08949173101332462,-0.0685583843082047,-0.015735540320146825,0.1184852981202497,0.011662515690473892,0.10582383646702212,0.04266789547493018,0.04263274655549365
PDSI_2m_lag,-0.07944646555149527,-0.0918532195033228,-0.111368087663651,-0.12057559339905692,-0.13673625047344368,-0.1603221385109806,-0.12057559339905692,-0.13673625047344368,-0.1603221385109806,-0.12050489961204537,-0.13666471417047013,-0.16025021947993479,-0.036991427399426034,-0.023524307492545388,-0.017548188223231696,0.8058251033203896,0.9011287615345014,1.0,0.020710553545137008,0.03762988580502792,0.05506304991934036,0.14303286587692793,0.1869199012523823,0.48106175375417876,-0.11654089224419405,-0.13265746849130297,-0.15618556169223974,0.00013927367642224784,-0.004980636778944285,-0.030451543552435904,0.11337612318952103,0.14445135501190953,0.34482323447848295,-0.12354843640214082,-0.1371806674989599,-0.15702373958981977,-0.09680248705948584,-0.09258408886509689,-0.08527592143464838,-0.01666132137434648,0.1263509442087711,0.0013283294832142146,0.11401362490887253,0.04380425533418508,0.0437229321523904
Rh_g_m-2,0.39634841685875527,0.4439299442495177,0.3854458905296443,0.25369096174944594,0.29163727219832586,0.2967589938257138,0.25369096174944594,0.29163727219832586,0.2967589938257138,0.25365172201080877,0.29161187031172364,0.2967437073201298,0.8672162764902184,0.819945426319365,0.6205937740302344,0.049272685135441203,0.03484677013995874,0.020710553545137005,1.0,0.9034463778589454,0.6938053040366592,0.055509371264514336,0.03515899720768651,0.010332648111890766,0.21403682913474503,0.25515120804360897,0.2645456428986332,0.4698370932693907,0.45810563207057003,0.4042543307956199,0.48988061121940646,0.5024315009274466,0.45595301732397986,0.25065976826503505,0.29639830308277876,0.3064533246256766,0.7529015222772051,0.6568734154965479,0.4302513976217682,-0.20354879942502438,-0.22189495452607222,0.157348268924074,0.006513549960434078,0.292323528101396,0.29779192236934376
Rh_g_m-2_1m_lag,0.25984982634803755,0.39567265138150615,0.44444783383289255,0.19904847789002528,0.2514618501829055,0.2917233737706066,0.19904847789002528,0.2514618501829055,0.2917233737706066,0.19900311922251332,0.25142294804828375,0.29169842804711293,0.7121410647710961,0.8675291594965945,0.8198534704114818,0.057065833226963326,0.052188790751704364,0.03762988580502792,0.9034463778589454,1.0,0.9041125779805815,0.026152320536560848,0.05524166926474257,0.03521550872871544,0.15828714576451997,0.21146207941528888,0.25503803418025384,0.4312963837680455,0.4658034556725976,0.45540361706862664,0.39337221827511515,0.4902658787232938,0.5024762741417628,0.1878035617657226,0.24673775402653633,0.2946618536988657,0.6554467696448952,0.7527743857955053,0.6575999234249452,-0.2035946339269181,-0.2573800891366766,0.3815505935217318,0.018963480211077507,0.29241728331474076,0.2978790370687714
Rh_g_m-2_2m_lag,0.07586452253546631,0.2603498184463939,0.3974064987052547,0.14290738498776176,0.19724610371343237,0.25133892507593686,0.14290738498776176,0.19724610371343237,0.25133892507593686,0.14285995027760778,0.19720133768445522,0.2513002599701547,0.42657638925011854,0.7139754638891914,0.8680198719343734,0.061763596957115134,0.06007250898291726,0.05506304991934036,0.6938053040366592,0.9041125779805815,1.0,0.02374955330058778,0.02563018389648195,0.0557463463946147,0.10353581279466131,0.15619048465027913,0.2112090431647021,0.3604017373097296,0.4275810559126405,0.463670005750949,0.3019138367458449,0.3945026210521418,0.49091142677576965,0.12934850312257956,0.18410239550947732,0.24459269706081083,0.4287950927610024,0.6569167262378195,0.7537338210492153,-0.20334605083958443,-0.2079003509748369,0.5227921060056221,0.030080720046175694,0.29234073889143564,0.2977811080849848
SP01,-0.11206476816276802,0.009146677339976901,0.02541317181023336,-0.10060700709515609,-0.014767015251002557,-0.018250029160004164,-0.10060700709515609,-0.014767015251002557,-0.018250029160004164,-0.10058522238438967,-0.014740523123199904,-0.018230752046830338,-0.0038908723795859396,0.020002359401112457,0.019404680241360977,0.48200426585069933,0.1865100333042213,0.14303286587692793,0.05550937126451434,0.026152320536560848,0.02374955330058778,1.0,0.05953811743507949,0.07437161166849592,-0.09693241021284382,-0.015131967083205557,-0.01988616662889618,-0.09027308928394576,0.013882627551042163,0.01869456508072485,0.6501962170484533,0.03769349057280174,0.05126706393279601,-0.08690470332709153,-0.012758104071859951,-0.02165515208047046,-0.010598384317361965,0.013502218805889685,0.013574482280193508,-0.006606362698407491,0.007259329880894786,0.07876403376751258,0.04068430165950349,0.014408983917820351,0.01388603451425925
